,ref
1091,铭记党的历史  弘扬革命精神——中共五大历史图片展在沪展出
1092,中国共产党第十七次全国代表大会关于中央纪律检查委员会工作报告的决议
1093,党的十六大:在“三个代表”重要思想的指引下奋勇前进
1094,论杨尚昆对朱德建设现代化军队思想的发展——纪念杨尚昆诞辰100周年
1095,中国共产党第六次全国代表大会会址常设展览馆(俄罗斯莫斯科)
1096,发表卓越见解  坚持正确主张——毛泽东在中共三大
1097,发展动力：习近平新时代中国特色社会主义思想的基本范畴
1098,习近平新时代中国特色社会主义思想对邓小平理论的坚持、发展和创新
1099,周恩来对中共六大的特殊担当与重大贡献
1100,滕代远与军委铁道部的组建
1101,牢牢掌握党对宣传思想工作的领导权——学习刘少奇《党在宣传战线上的任务》
1102,国有大中型企业“三讲”学习教育活动问题解答
1103,深刻理解社会主义初级阶段的理论——学习中国共产党第十三次全国代表大会文件的体会
1104,中共八大会场的布置
1105,全区国有企业“三讲”学习教育活动进展顺利
1106,王树声:自我批评伴一生
1107,王树声大将转战鄂豫皖边区
1108,强党性转作风勇担当  汇聚新一轮振兴发展磅礴力量——辽宁省“三严三实”专题教育综述
1109,中国共产党第十六次全国代表大会关于十五届中央委员会报告的决议(二○○二年十一月十四日中国共产党第十六次全国代表大会通过)
1110,统一思想对党代表大会成功召开的重大意义——中国共产党第七次全国代表大会的历史启示
1111,百团大战中“以顽强对顽强”的东团堡攻坚战
1112,关于华林是否出席中共五大的考辨
1113,1957年整风运动的历史启示
1114,黄公略：杰出的红军将领
1115,陈延年与鲁迅在广州的两次见面——兼及《鲁迅日记》里的“陈安仁”即陈延年
1116,妇运先驱 妇女风范——浅谈邓颖超在中共广东区委工作的杰出贡献和影响
1117,董必武：站在国统区人民民主运动的前列
1118,"高举邓小平理论伟大旗帜,把建设有中国特色社会主义事业全面推向二十一世纪——在中国共产党第十五次全国代表大会上的报告"
1119,董必武的廉政思想及其当代启示
1120,指导与影响:共产国际与中共六大关系探析
1121,毛岸英“劳动大学”的老师吴满有
1122,彭雪枫在淮北抗日根据地二三事
1123,一座小楼与一次大会——走进中共六大会址常设展览馆
1124,关于中共一大考证的回顾研究——访解放军后勤学院教授邵维正少将
1125,情系八桂 鞠躬尽瘁——对广西有大功的张云逸大将之三
1126,夺取新时代中国特色社会主义伟大胜利——热烈庆祝中国共产党第十九次全国代表大会胜利召开
1127,刘志丹：“为共产主义信仰奋斗到底”
1128,试论抗战时期廖承志在香港领导创办报刊活动及其历史功绩
1129,在中国共产党第十一次全国代表大会上关于修改党的章程的报告
1130,中共一大：开天辟地的大事
1131,杨尚昆在中央苏区的宣传工作
1132,《矛盾论》
1133,《实践论》
1134,《论持久战》
1135,《沁园春·雪》
1136,周恩来选集
1137,《彭德怀自述》
1138,《彭德怀军事文选》等
1139,贺龙军事文选
1140,陈毅诗词选集
1141,《历史的回顾》
1142,《中华人民共和国宪法》
1143,《粟裕战争回忆录》
1144,红二十五军战史
1145,《黄克诚自述》、《黄克诚军事文选》
1146,《八路军政治工作的回顾》、《东北野战军平津战役政治工作》等
1147,《建设现代化的强大海军》、《萧劲光回忆录》等
1148,战斗指挥研究事项
1149,《抗日军队的政治工作》、《罗瑞卿诗词集》
1150,《战术发展的基本因素》
1151,《赤都心史》《饿乡纪程》《多余的话》
1152,《可爱的中国》、《清贫》、《我不相信基督教！》
1153,《游击战术》、《战略战术讲授提纲》
1154,《军事教育大纲》《政治工作训令》
1155,海陆丰农民运动
